ID011069-01	CNC1=C(C=NC=N1)C2=C(OC)C=CC=C2	-2.876	-2.822	-1.253	-1.081	-1.54	2.444	4.965	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011089-01	CC1=CC=CC(CNC2=C3C=CC=CC3=NC(=N2)C4=CC=CN=C4)=C1	-2.471	-2.931	.7992	-.06004	.679	1.978	3.559	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011096-01	CN(C)CC1=C(C=CC=C1)C2=NC=CC(=N2)N(C)C	1.115	.5296	-1.033	1.213	-.03431	1.191	.1016	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011131-01	FC1=CC(=CC=C1)C(=O)N2CCC[C@]3(CCN(CC4=CC=C(C=C4)C#N)C3)C2	-.7869	.5006	-.1505	.5775	1.917	-.03061	-.818	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011134-01	FC(F)(F)C1=CC(=CC(=C1)C(=O)N2CCC3(CC2)CCN(CC3)C4=CC=NC=C4)C(F)(F)F	.6301	1.835	1.453	2.099	3.426	2.901	4.1	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011170-01	COC1=CC2=C(NC=C2CCNC3=C4C=C(C=CC4=NC=N3)C5=CC(=CC=C5)C#N)C=C1	.7056	-1.154	-1.601	1.695	1.95	1.594	-.7521	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011188-01	COC1=CC(OC)=C(CNC2=C3C=CC=CC3=NC(=N2)C4=CC=C(C=C4)C(=O)N(C)C)C=C1	.947	1.709	-.1803	1.662	1.842	-1.301	-11.19	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011209-01	COC1=CC=C(NC(=O)N2CC[C@]3(C2)CCCN(C3)C(=O)C4=CC=C(OC)C=C4)C=C1	-2.664	2.038	.2033	-2.114	-.3819	.2589	1.82	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011211-01	COC1=C(CN2CCCC3(CCN(CC3)C(=O)C4=CSN=N4)C2)C=CC=C1	-.4371	3.372	1.193	.8466	1.261	.7042	-1.45	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011213-01	COC1=CC(OC)=C(CNC2=CC(=NC=N2)C3=CC=CN=C3)C=C1	-.497	.3147	-1.942	-.5161	1.113	.1924	-3.89	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011217-01	COC1=CC=CC(NC2=NC3=C(C=N2)N=C(C(=O)N3CCC#N)C4=CC=C(Cl)C=C4)=C1	-.7368	-.6192	1.58	.7059	.1326	-3.136	.3826	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011241-01	O=C(NC1=CC=CC=C1)N2CCC3(CC2)CCN(CC3)S(=O)(=O)C4=CC=CC=C4	2.743	.443	1.098	-.2968	.9264	-1.532	2.729	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011243-01	CN(C)C1=CC=C(C=C1)C2=NC=CC(NCC3=CC=CC=C3)=N2	-.1643	-.5736	-1.198	-2.46	-4.006	-16.71	-56.86	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011283-01	CCNC1=NC2=C(C=N1)N=C(C(=O)N2CC3=CC=CS3)C4=CC=C(Cl)C=C4	.3637	2.051	1.217	-.008993	-.642	.8262	-2.839	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011306-01	FC1=CC=C(C=C1)C2=NC3=C(N=C(N=C3)N4CCOCC4)N(C5CC5)C2=O	-1.575	-.06056	1.222	.4604	.1534	1.441	.8238	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011316-01	COC1=CC=C(OC2=NC3=C(C=N2)N=CC(=O)N3CC4=CC=CS4)C=C1	-4.221	1.241	-2.253	-.625	-3.33	1.761	-.3665	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011331-01	COC1=C(CN2CC3(C2)CCN(CC3)C(=O)C4=CC=CC(F)=C4)C=CC=C1	-1.609	-1.016	-.9152	.1816	-2.71	3.609	-3.242	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011343-01	COC1=CC2=C(NC=C2CCNC3=CC=NC(=N3)C4=CC(OC)=CC=C4)C=C1	1.362	2.827	-3.067	2.761	-.2389	1.994	-2.883	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011360-01	COC(=O)N1CCC2(CN(C2)C3=CC=NC=C3)CC1	-2.057	.7467	1.111	-1.692	.06055	.7881	-.01244	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011364-01	COC1=C(C=CC=C1)C2=CC(NCC3=CC=CC=C3)=NC=N2	.7579	1.819	.9061	.1752	1.911	1.537	.3916	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011371-01	CN(C)C1=NC=NC2=CC=C(C=C12)C3=CC=CN=C3	1.971	.8932	1.476	1.741	2.662	3.993	-4.802	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011383-01	COC1=CC=CC(NC2=NC3=C(C=N2)N=C(C(=O)N3C)C4=CC=C(F)C=C4)=C1	-2.001	.7377	.7038	-.04225	-2.354	-2.719	-2.191	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
